post_id,gender_bias_score,image_count,status
1000013365102810365,7.28,1,success
1000043359370989848,5.2,1,success
1000055615134224232,7.34,1,success
1000084729422320243,6.86,1,success
1000147795992383306,6.66,1,success
1000185944765244246,5.76,1,success
1000187241840723936,8.27,1,success
1000195565643379047,6.14,1,success
1000223840552948319,5.76,1,success
1000237217874419483,6.47,1,success
1000267903523304612,6.24,1,success
1000268760964166525,4.96,1,success
1000341491485385724,6.68,1,success
1000536677633627187,6.93,1,success
1000580466040936863,5.01,1,success
1000580835382958501,6.56,1,success
1000628476857803160,7.49,1,success
1000671034476794659,7.32,1,success
1000737359753541015,5.65,1,success
1000751708074854178,4.99,1,success
1000781854256977897,8.01,1,success
1000822752965134719,5.96,1,success
1000833549725484970,6.31,1,success
1000851894518996579,6.68,1,success
1000865446007397906,6.01,1,success
1000865537493556755,5.26,1,success
1000865593328131605,5.1,1,success
1000897137384910510,7.47,1,success
1000898728669980709,7.7,1,success
1000906123641973870,5.12,1,success
1000916628578544667,7.12,1,success
1000927031743489013,6.26,1,success
1000962087600062632,7.82,1,success
1000973025397787763,6.35,1,success
1000991564993487007,6.84,1,success
1001098861046145947,6.21,1,success
1001099590309891314,6.01,1,success
1001134756076864614,4.27,1,success
1001145780376891939,5.91,1,success
1001183003555016959,6.19,1,success
1001204258073096820,5.75,1,success
1001207154760102571,5.62,1,success
1001214191829136169,6.67,1,success
1001215367660319546,6.23,1,success
1001228428306819383,6.9,1,success
1001466707686742905,6.77,1,success
1001506950951457624,5.52,1,success
1001562593806509337,7.47,1,success
1001597067611364169,4.45,1,success
1001630608789742167,5.41,1,success
1001743962432389211,4.71,1,success
1001758739164584934,6.67,1,success
1001814515262226471,6.58,1,success
1001823459021658862,8.52,1,success
1001846926616520364,6.52,1,success
1001904836623810904,4.58,1,success
1001937176675693333,6.81,1,success
1002056498710909808,6.86,1,success
1002073977369121679,4.83,1,success
1002254442951455900,7.56,1,success
1002287424374749989,6.42,1,success
1002318023198363364,7.07,1,success
1002344108931831249,7.45,1,success
1002345718739271723,6.12,1,success
1002430476847321851,6.09,1,success
1002442040438411952,5.75,1,success
1002552079489166243,8.04,1,success
1002587898903567229,4.99,1,success
1002593046997866065,7.55,1,success
1002691047598725245,6.45,1,success
1002803856803003835,7.85,1,success
1002866617391086542,7.61,1,success
1002953361198389697,7.79,1,success
1002956612573222150,4.91,1,success
1002957131066222451,6.15,1,success
1002957603909532980,6.16,1,success
1002957750623643523,5.44,1,success
1002981839096473947,6.54,1,success
1003013118186853666,5.41,1,success
1003056957037340882,7.75,1,success
1003085056508606808,6.87,1,success
1003108713239679621,5.63,1,success
1003147514443347789,4.73,1,success
1003207019827728585,6.67,1,success
1003232201892457882,7.62,1,success
1003330441303858032,6.3,1,success
1003357295099628650,4.93,1,success
1003429912201249618,7.36,1,success
1003524830672940730,6.87,1,success
1003532022829890045,6.47,1,success
1003532989734402574,6.66,1,success
1003533340185278995,5.42,1,success
1003545979532095019,7.17,1,success
1003591726971893584,5.31,1,success
1003628624102834998,4.77,1,success
1003632566497081075,5.12,1,success
1003680734524804037,7.23,1,success
1003695214669699840,6.72,1,success
1003703512405517089,6.15,1,success
1003729829226556233,6.31,1,success
1003758978917896502,5.93,1,success
1003775799327747644,4.69,1,success
1003790837530238618,6.95,1,success
1003791957658760021,7.01,1,success
1003797521009205251,7.71,1,success
1003907469040337247,7.08,1,success
1003937111377942940,7.24,1,success
1003970687109927816,5.41,1,success
1004163684386964391,7.13,1,success
1004331733002915425,4.66,1,success
1004423503941966476,6.33,1,success
1004519533306026054,6.02,1,success
1004543911264907281,5.65,1,success
1004557889092564116,7.1,1,success
1004653649086770403,6.17,1,success
1004662623012319602,6.8,1,success
1004701673602008602,7.21,1,success
1004815690730001873,5.81,1,success
1004894102808220305,6.77,1,success
1004959497703797235,6.66,1,success
1005064898028838531,6.05,1,success
1005069808393573097,7.29,1,success
1005102492118036599,7.16,1,success
1005102949204897922,5.95,1,success
1005103274959712397,6.89,1,success
1005103632574460057,8.26,1,success
1005103933809373349,7.38,1,success
1005104232963911858,5.39,1,success
1005106071529113637,5.69,1,success
1005123768588285269,5.03,1,success
1005126341007696164,6.89,1,success
1005144809114696046,4.3,1,success
1005154713160839531,7.05,1,success
1005165645375541877,6.29,1,success
1005204108830174679,8.98,1,success
1005213541393552554,8.12,1,success
1005222058314662368,5.69,1,success
1005262442522360163,6.42,1,success
1005267958309397615,6.86,1,success
1005281576468678018,7.27,1,success
1005289702521853482,4.6,1,success
1005296924222308417,5.66,1,success
1005332985474285050,6.34,1,success
1005342667041172567,5.0,1,success
1005349974250732455,7.37,1,success
1005352669804902328,4.89,1,success
1005537606363100065,6.54,1,success
1005682931463319525,7.22,1,success
1005704069136073048,7.05,1,success
1005773894745699717,5.87,1,success
1005774102774501020,6.48,1,success
1005792285239258082,7.89,1,success
1005809085661698908,6.55,1,success
1005821447774566149,6.45,1,success
1005835109369546438,6.69,1,success
1005887687841412726,5.5,1,success
1005920125991271701,6.46,1,success
1005927961839660921,8.03,1,success
1005937114375721355,6.26,1,success
1005993409586405043,5.33,1,success
1005997884312842581,7.64,1,success
1006008485214232080,5.39,1,success
1006076913640257073,7.65,1,success
1006182670690951414,4.04,1,success
1006193516642234438,7.06,1,success
1006446341778269687,6.48,1,success
1006617274750407127,5.72,1,success
1006633780645470048,5.09,1,success
1006664976297649617,5.81,1,success
1006772605799436438,5.07,1,success
1006803009097917686,3.67,1,success
1006833852448695445,5.42,1,success
1006845988628151497,7.54,1,success
1006849513026305323,6.87,1,success
1007023965201344323,5.18,1,success
1007069858076730999,5.55,1,success
1007241810252305118,6.76,1,success
1007278926505563289,5.72,1,success
1007322741227676920,6.91,1,success
1007331796217584997,7.88,1,success
1007417108253764624,4.59,1,success
1007428920033310781,7.48,1,success
1007446706155733544,3.53,1,success
1007464724306193092,7.29,1,success
1007482184942041521,4.64,1,success
1007520829935263905,7.51,1,success
1007556680227131970,6.0,1,success
1007560068305234260,5.69,1,success
1007609836085832238,6.99,1,success
1007617615161271298,6.98,1,success
1007642553396425581,7.1,1,success
1007790003397569918,7.5,1,success
1007848756040214603,6.44,1,success
1007977427924842450,6.28,1,success
1007998751346161021,7.88,1,success
1008009920662725340,7.63,1,success
1008017101259795030,5.16,1,success
1008024505072110162,5.61,1,success
1008055606531104763,6.71,1,success
1008072832636518794,7.6,1,success
1008079150057539355,5.5,1,success
1008101264657193488,6.99,1,success
1008132782556314507,7.37,1,success
1008172156351191576,4.86,1,success
1008202603607467963,6.03,1,success
1008212757507189999,6.39,1,success
1008250579241114911,5.98,1,success
1008267720103752865,6.97,1,success
1008437688146172371,5.26,1,success
1008572016728718207,7.16,1,success
1008860956445861407,7.67,1,success
1008888185298046711,6.77,1,success
1008923469997285440,6.46,1,success
1008937631163901176,7.22,1,success
1008941053399324181,5.99,1,success
1008957044030627854,5.83,1,success
1009044545634648558,6.43,1,success
1009098307152865175,5.26,1,success
1009103203960157249,4.1,1,success
1009209834031177290,7.67,1,success
1009311417948130192,7.07,1,success
1009353335046288749,5.86,1,success
1009377773321661195,5.86,1,success
1009469179286418709,7.08,1,success
1009487253850052973,6.3,1,success
1009495564211957737,6.14,1,success
1009524291316341478,8.04,1,success
1009548913274571147,6.55,1,success
1009550207737878243,6.85,1,success
